file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,185,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,13
style.css,186,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,22
style.css,187,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,16
style.css,188,css,8848d277,alexfrederick1,2025-02-07,14:47:32,-08:00,2025-02-07T14:47:32-08:00,0,0
style.css,189,css,8848d277,alexfrederick1,2025-02-07,14:47:32,-08:00,2025-02-07T14:47:32-08:00,0,0
style.css,190,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,11
style.css,191,css,8848d277,alexfrederick1,2025-02-07,14:47:32,-08:00,2025-02-07T14:47:32-08:00,0,13
style.css,192,css,8848d277,alexfrederick1,2025-02-07,14:47:32,-08:00,2025-02-07T14:47:32-08:00,0,19
style.css,193,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,9
style.css,194,css,8848d277,alexfrederick1,2025-02-07,14:47:32,-08:00,2025-02-07T14:47:32-08:00,0,0
style.css,195,css,8848d277,alexfrederick1,2025-02-07,14:47:32,-08:00,2025-02-07T14:47:32-08:00,0,0
style.css,196,css,8848d277,alexfrederick1,2025-02-07,14:47:32,-08:00,2025-02-07T14:47:32-08:00,0,8
style.css,197,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,11
style.css,198,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,12
style.css,199,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,21
style.css,200,css,0dbc52e5,alexfrederick1,2025-02-07,23:35:32,-08:00,2025-02-07T23:35:32-08:00,0,30
style.css,201,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,18
style.css,202,css,8848d277,alexfrederick1,2025-02-07,14:47:32,-08:00,2025-02-07T14:47:32-08:00,0,0
style.css,203,css,8848d277,alexfrederick1,2025-02-07,14:47:32,-08:00,2025-02-07T14:47:32-08:00,0,0
style.css,204,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,11
style.css,205,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,13
style.css,206,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,19
style.css,207,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,9
style.css,208,css,8848d277,alexfrederick1,2025-02-07,14:47:32,-08:00,2025-02-07T14:47:32-08:00,0,0
style.css,209,css,297600d8,alexfrederick1,2025-02-07,18:22:15,-08:00,2025-02-07T18:22:15-08:00,0,0
style.css,210,css,297600d8,alexfrederick1,2025-02-07,18:22:15,-08:00,2025-02-07T18:22:15-08:00,0,18
style.css,211,css,297600d8,alexfrederick1,2025-02-07,18:22:15,-08:00,2025-02-07T18:22:15-08:00,0,17
style.css,212,css,297600d8,alexfrederick1,2025-02-07,18:22:15,-08:00,2025-02-07T18:22:15-08:00,0,12
style.css,213,css,297600d8,alexfrederick1,2025-02-07,18:22:15,-08:00,2025-02-07T18:22:15-08:00,0,0
style.css,214,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,0
style.css,215,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,0
style.css,216,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,5
style.css,217,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,17
style.css,218,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,15
style.css,219,css,297600d8,alexfrederick1,2025-02-07,18:22:15,-08:00,2025-02-07T18:22:15-08:00,0,0
style.css,220,css,297600d8,alexfrederick1,2025-02-07,18:22:15,-08:00,2025-02-07T18:22:15-08:00,0,0
style.css,221,css,297600d8,alexfrederick1,2025-02-07,18:22:15,-08:00,2025-02-07T18:22:15-08:00,0,0
style.css,222,css,297600d8,alexfrederick1,2025-02-07,18:22:15,-08:00,2025-02-07T18:22:15-08:00,0,10
style.css,223,css,297600d8,alexfrederick1,2025-02-07,18:22:15,-08:00,2025-02-07T18:22:15-08:00,0,36
style.css,224,css,297600d8,alexfrederick1,2025-02-07,18:22:15,-08:00,2025-02-07T18:22:15-08:00,0,0
style.css,225,css,297600d8,alexfrederick1,2025-02-07,18:22:15,-08:00,2025-02-07T18:22:15-08:00,0,11
style.css,226,css,297600d8,alexfrederick1,2025-02-07,18:22:15,-08:00,2025-02-07T18:22:15-08:00,0,18
